Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,Philippians 1,1,13
καὶ,and,Conj,G2532,Philippians 1,2,13
Τιμόθεος,Timothy,N-NMS,G5095,Philippians 1,3,13
δοῦλοι,servants,N-NMP,G1401,Philippians 1,4,13
Χριστοῦ,of Christ,N-GMS,G5547,Philippians 1,5,13
Ἰησοῦ,Jesus,N-GMS,G2424,Philippians 1,6,13
Πᾶσιν,To all,Adj-DMP,G3956,Philippians 1,7,13
τοῖς,the,Art-DMP,G3588,Philippians 1,8,13
ἁγίοις,saints,Adj-DMP,G40,Philippians 1,9,13
ἐν,in,Prep,G1722,Philippians 1,10,13
Χριστῷ,Christ,N-DMS,G5547,Philippians 1,11,13
Ἰησοῦ,Jesus,N-DMS,G2424,Philippians 1,12,13
οὖσιν,being,V-PPA-DMP,G1510,Philippians 1,13,13
Φιλίπποις,Philippi,N-DMP,G5375,Philippians 1,14,13
σὺν,with,Prep,G4862,Philippians 1,15,13
ἐπισκόποις,the overseers,N-DMP,G1985,Philippians 1,16,13
διακόνοις,deacons,N-DMP,G1249,Philippians 1,17,13
Χάρις,Grace,N-NFS,G5485,Philippians 1,18,13
ὑμῖν,to you,PPro-D2P,G4771,Philippians 1,19,13
εἰρήνη,peace,N-NFS,G1515,Philippians 1,20,13
ἀπὸ,from,Prep,G575,Philippians 1,21,13
Θεοῦ,God,N-GMS,G2316,Philippians 1,22,13
Πατρὸς,Father,N-GMS,G3962,Philippians 1,23,13
ἡμῶν,of us,PPro-G1P,G1473,Philippians 1,24,13
Κυρίου,the Lord,N-GMS,G2962,Philippians 1,25,13
Εὐχαριστῶ,I thank,V-PIA-1S,G2168,Philippians 1,26,13
τῷ,the,Art-DMS,G3588,Philippians 1,27,13
Θεῷ,God,N-DMS,G2316,Philippians 1,28,13
μου,of me,PPro-G1S,G1473,Philippians 1,29,13
ἐπὶ,upon,Prep,G1909,Philippians 1,30,13
πάσῃ,every,Adj-DFS,G3956,Philippians 1,31,13
τῇ,-,Art-DFS,G3588,Philippians 1,32,13
μνείᾳ,remembrance,N-DFS,G3417,Philippians 1,33,13
ὑμῶν,of you,PPro-G2P,G4771,Philippians 1,34,13
πάντοτε,always,Adv,G3842,Philippians 1,35,13
δεήσει,supplication,N-DFS,G1162,Philippians 1,36,13
ὑπὲρ,for,Prep,G5228,Philippians 1,37,13
πάντων,all,Adj-GMP,G3956,Philippians 1,38,13
μετὰ,with,Prep,G3326,Philippians 1,39,13
χαρᾶς,joy,N-GFS,G5479,Philippians 1,40,13
τὴν,the,Art-AFS,G3588,Philippians 1,41,13
δέησιν,supplication,N-AFS,G1162,Philippians 1,42,13
ποιούμενος,making,V-PPM-NMS,G4160,Philippians 1,43,13
κοινωνίᾳ,partnership,N-DFS,G2842,Philippians 1,44,13
εἰς,in,Prep,G1519,Philippians 1,45,13
τὸ,the,Art-ANS,G3588,Philippians 1,46,13
εὐαγγέλιον,gospel,N-ANS,G2098,Philippians 1,47,13
τῆς,the,Art-GFS,G3588,Philippians 1,48,13
πρώτης,first,Adj-GFS,G4413,Philippians 1,49,13
ἡμέρας,day,N-GFS,G2250,Philippians 1,50,13
ἄχρι,until,Prep,G891,Philippians 1,51,13
τοῦ,-,Art-GMS,G3588,Philippians 1,52,13
νῦν,now,Adv,G3568,Philippians 1,53,13
πεποιθὼς,being persuaded of,V-RPA-NMS,G3982,Philippians 1,54,13
αὐτὸ,the very thing,PPro-AN3S,G846,Philippians 1,55,13
τοῦτο,this,DPro-ANS,G3778,Philippians 1,56,13
ὅτι,that,Conj,G3754,Philippians 1,57,13
ὁ,the One,Art-NMS,G3588,Philippians 1,58,13
ἐναρξάμενος,having begun,V-APM-NMS,G1728,Philippians 1,59,13
ἔργον,a work,N-ANS,G2041,Philippians 1,60,13
ἀγαθὸν,good,Adj-ANS,G18,Philippians 1,61,13
ἐπιτελέσει,will complete it,V-FIA-3S,G2005,Philippians 1,62,13
Καθώς,Accordingly,Adv,G2531,Philippians 1,63,13
ἐστιν,it is,V-PIA-3S,G1510,Philippians 1,64,13
δίκαιον,right,Adj-NNS,G1342,Philippians 1,65,13
ἐμοὶ,for me,PPro-D1S,G1473,Philippians 1,66,13
φρονεῖν,to feel,V-PNA,G5426,Philippians 1,67,13
διὰ,since,Prep,G1223,Philippians 1,68,13
ἔχειν,have,V-PNA,G2192,Philippians 1,69,13
με,I,PPro-A1S,G1473,Philippians 1,70,13
καρδίᾳ,heart,N-DFS,G2588,Philippians 1,71,13
ὑμᾶς,you,PPro-A2P,G4771,Philippians 1,72,13
ἔν,in,Prep,G1722,Philippians 1,73,13
τε,both,Conj,G5037,Philippians 1,74,13
δεσμοῖς,chains,N-DMP,G1199,Philippians 1,75,13
ἀπολογίᾳ,defense,N-DFS,G627,Philippians 1,76,13
βεβαιώσει,confirmation,N-DFS,G951,Philippians 1,77,13
τοῦ,of the,Art-GNS,G3588,Philippians 1,78,13
εὐαγγελίου,gospel,N-GNS,G2098,Philippians 1,79,13
συνκοινωνούς,fellow partakers,N-AMP,G4791,Philippians 1,80,13
χάριτος,grace,N-GFS,G5485,Philippians 1,81,13
πάντας,all,Adj-AMP,G3956,Philippians 1,82,13
ὄντας,are,V-PPA-AMP,G1510,Philippians 1,83,13
μάρτυς,Witness,N-NMS,G3144,Philippians 1,84,13
γάρ,for,Conj,G1063,Philippians 1,85,13
Θεός,God is,N-NMS,G2316,Philippians 1,86,13
ὡς,how,Adv,G5613,Philippians 1,87,13
ἐπιποθῶ,I long after,V-PIA-1S,G1971,Philippians 1,88,13
σπλάγχνοις,the affection,N-DNP,G4698,Philippians 1,89,13
Καὶ,And,Conj,G2532,Philippians 1,90,13
προσεύχομαι,I pray,V-PIM/P-1S,G4336,Philippians 1,91,13
ἵνα,that,Conj,G2443,Philippians 1,92,13
ἡ,the,Art-NFS,G3588,Philippians 1,93,13
ἀγάπη,love,N-NFS,G26,Philippians 1,94,13
ἔτι,yet,Adv,G2089,Philippians 1,95,13
μᾶλλον,more,Adv,G3123,Philippians 1,96,13
περισσεύῃ,may abound,V-PSA-3S,G4052,Philippians 1,97,13
ἐπιγνώσει,knowledge,N-DFS,G1922,Philippians 1,98,13
αἰσθήσει,discernment,N-DFS,G144,Philippians 1,99,13
δοκιμάζειν,to approve,V-PNA,G1381,Philippians 1,100,13
τὰ,the things,Art-ANP,G3588,Philippians 1,101,13
διαφέροντα,being excellent,V-PPA-ANP,G1308,Philippians 1,102,13
